"Observed","Predicted"
"7",0.54,0.900277924948995
"38",0.98,1.34009460592871
"46",9.22,8.85929597492144
"58",1.54,1.9004075756196
"39",1.78,2.1405577900655
"12",0.58,0.94036215488755
"52",0.82,1.18147924012714
"6",0.3,0.660216124553953
"67",7.84,7.47960743425325
"59",6.66,6.29960743042939
"60",1.12,1.48040240898664
"66",1.32,1.67975330453235
"5",0.4,0.75973143966127
"47",11.56,11.1997007023405
"64",1.66,2.02190745576108
"41",1.06,1.4190070309519
"23",0.86,1.06842147117555
"63",0.98,1.33870212395033
"18",0.42,0.781105469826874
"3",0.46,0.820383535086337
"57",13.9,13.5414518384563
"40",3.08,2.71858429273165
"26",0.42,0.780498565755717
"36",2.18,2.53948265349899
"37",0.7,1.06105345027111
"22",0.5,0.860316741587116
"31",0.36,0.719887220241333
"34",1.22,1.58025133161946
"19",1.16,1.52002264059666
"4",0.34,0.700351912817081
"43",8.56,8.19940674444347
"56",10.1,9.73925113636111
"9",0.3,0.660732246174334
"50",5.62,5.25973756282832
"61",2.7,2.72061640407983
"65",0.62,0.982039894233485
"53",10.46,10.1000301478
"42",1.18,1.54084548189562
"15",0.46,0.822098947912582
"2",0.68,1.03924219483091
"33",1.16,1.5200927507986
"27",0.74,1.10084752999899
"35",7.44,7.0798843152401
"16",0.5,0.85938327207509
"30",0.48,0.840496972456607
"17",0.38,0.740612291836367
"62",1.24,1.60036083928261
