"Observed","Predicted"
"7",2.84,2.556864
"38",1.9,2.11750133333333
"46",2.56,2.586828
"58",3.58,2.96889933333333
"39",2.08,2.02014066666667
"12",2.66,2.656526
"52",2.48,2.51232666666667
"6",2.14,2.23686933333333
"67",1.38,1.96820466666667
"59",2.56,2.581658
"60",2.14,2.213796
"66",1.74,2.01664333333333
"5",2.14,2.03315933333333
"47",2.88,2.66548533333334
"64",2.34,2.20111266666667
"41",1.82,2.00110666666667
"23",2.32,2.11376580952382
"63",1.38,1.72274066666667
"18",4.22,3.14868733333334
"3",2.08,2.17942333333334
"57",3,2.70472266666667
"40",2.32,2.13116266666667
"26",1.24,1.62901266666667
"36",1.32,1.73818400000001
"37",2.82,2.429222
"22",1.92,1.97596666666666
"31",1.76,2.11781466666667
"34",1.66,1.74425066666667
"19",2.5,2.366504
"4",1.66,1.867898
"43",2.84,2.56652
"56",2.38,2.526276
"9",1.7,1.917876
"50",3,2.570682
"61",2.4,2.38739933333333
"65",1.6,1.931178
"53",2.74,2.47784866666667
"42",1.9,2.07185733333333
"15",1.9,2.22721933333333
"2",3.5,2.89883980952381
"33",1.6,1.768722
"27",1.94,2.016746
"35",1.38,1.79549266666667
"16",2.26,2.34193066666667
"30",1.34,1.74804733333333
"17",3.26,2.98042400000001
"62",2.44,2.28806847619048
