"Observed","Predicted"
"7",18.22,12.2974453333333
"38",5.86,5.72158533333333
"46",4.6,5.62574666666667
"58",4.4,5.61413066666667
"39",5.54,5.404376
"12",9.8,10.3282533333333
"52",8.14,8.06330133333334
"6",5.9,8.11925733333334
"67",6.52,6.73098399999999
"59",9.88,8.79792800000001
"60",5.74,5.63744666666666
"66",7.86,8.13726933333333
"5",10.26,8.47610533333334
"47",5.26,6.35752933333333
"64",6.18,6.12737333333333
"41",4.16,5.347592
"23",16.44,10.6546213333333
"63",4.2,5.86787466666667
"18",4.44,6.178876
"3",8.38,8.56584800000001
"57",17.54,12.2870853333333
"40",4.1,4.810508
"26",3.04,4.48217866666667
"36",4.48,5.32234133333334
"37",4.4,4.722356
"22",3.04,5.61249733333333
"31",7.48,7.23454533333334
"34",2.92,4.75736133333333
"19",10.26,9.18673066666666
"4",4.14,6.37856266666668
"43",4.36,4.69108133333333
"56",5.16,7.000876
"9",9.9,8.46932400000001
"50",4.64,5.92630933333333
"61",7.28,7.77501733333333
"65",7.34,7.83567066666666
"53",4.18,5.51257999999999
"42",2.82,4.62881733333334
"15",7.56,9.27349466666666
"2",21.06,13.9908093333333
"33",4.58,5.75348799999999
"27",9.92,8.00145333333334
"35",3.62,5.72050666666666
"16",11.4,11.015296
"30",2.86,4.046524
"17",9.28,9.27397866666666
"62",9.58,9.608392
