"Observed","Predicted"
"7",0.54,0.903888
"38",0.98,1.60104
"46",9.22,7.64545066666666
"58",1.54,2.94787466666667
"39",1.78,2.70171276190476
"12",0.58,1.623544
"52",0.82,3.32400533333334
"6",0.3,1.826052
"67",7.84,4.42455333333333
"59",6.66,5.418236
"60",1.12,1.941396
"66",1.32,2.18803466666667
"5",0.4,1.24902533333333
"47",11.56,7.96335199999999
"64",1.66,1.480604
"41",1.06,2.052576
"23",0.86,0.922024000000001
"63",0.98,1.736224
"18",0.42,1.21909466666667
"3",0.46,1.51609333333333
"57",13.9,9.13246000000001
"40",3.08,2.1900260952381
"26",0.42,0.860171428571427
"36",2.18,3.01863809523809
"37",0.7,1.10415333333333
"22",0.5,1.06362533333333
"31",0.36,3.242288
"34",1.22,1.5196420952381
"19",1.16,2.67239066666667
"4",0.34,0.659708
"43",8.56,5.31769066666666
"56",10.1,8.93963333333333
"9",0.3,1.19261066666667
"50",5.62,4.33934476190476
"61",2.7,2.22298
"65",0.62,1.018028
"53",10.46,6.64701200000001
"42",1.18,2.01791676190476
"15",0.46,1.52529733333333
"2",0.68,0.951532
"33",1.16,1.2588820952381
"27",0.74,1.31170666666667
"35",7.44,4.7090180952381
"16",0.5,1.14896933333333
"30",0.48,1.22637942857143
"17",0.38,1.65671466666667
"62",1.24,2.35154666666667
