"Observed","Predicted"
"7",2.84,2.7743181775669
"38",1.9,1.96535460969708
"46",2.56,2.49463548961163
"58",3.58,3.51451472664103
"39",2.08,2.14543829481623
"12",2.66,2.5943268256363
"52",2.48,2.41446126130525
"6",2.14,2.20572141147058
"67",1.38,1.44574851200364
"59",2.56,2.49446140281717
"60",2.14,2.20548114725807
"66",1.74,1.80585788392357
"5",2.14,2.1110350828034
"47",2.88,2.81429669858491
"64",2.34,2.2742303403082
"41",1.82,1.88542193198064
"23",2.32,2.254125384939
"63",1.38,1.44570371587976
"18",4.22,4.15473800022709
"3",2.08,2.14540166635162
"57",3,2.93471715520639
"40",2.32,2.25433357856135
"26",1.24,1.30547501978491
"36",1.32,1.38572910794949
"37",2.82,2.75433355115915
"22",1.92,1.98560626485381
"31",1.76,1.8258078880204
"34",1.66,1.72531272675686
"19",2.5,2.43437205739071
"4",1.66,1.72578678734909
"43",2.84,2.77457051113629
"56",2.38,2.31618429866456
"9",1.7,1.76550065993449
"50",3,2.93418228263498
"61",2.4,2.33432164492306
"65",1.6,1.66559558091706
"53",2.74,2.67460443320892
"42",1.9,1.96563033158087
"15",1.9,1.96569044936732
"2",3.5,3.43437034155754
"33",1.6,1.66535486164393
"27",1.94,2.00574182190826
"35",1.38,1.44570790627899
"16",2.26,2.32551848583904
"30",1.34,1.40541854406748
"17",3.26,3.19436756009461
"62",2.44,2.37435423225371
