"Observed","Predicted"
"7",18.22,10.8599609062477
"38",5.86,6.28069103985918
"46",4.6,5.02105472182127
"58",4.4,4.81901026135429
"39",5.54,5.96098738722915
"12",9.8,9.37938992752462
"52",8.14,7.72141843919606
"6",5.9,6.32074492135493
"67",6.52,6.6621161534076
"59",9.88,9.4602202041531
"60",5.74,6.15978915218619
"66",7.86,7.44003372483443
"5",10.26,9.83938992752462
"47",5.26,5.67893192443878
"64",6.18,6.60071797949414
"41",4.16,4.58098738809127
"23",16.44,10.8598919249496
"63",4.2,4.62078534648569
"18",4.44,4.86069103985918
"3",8.38,7.95944131332127
"57",17.54,10.859960893573
"40",4.1,4.51978917078442
"26",3.04,3.45849868065037
"36",4.48,4.89901026135429
"37",4.4,4.82074492129671
"22",3.04,3.45849868065315
"31",7.48,7.06148578023868
"34",2.92,3.34098738722915
"19",10.26,9.83733167939157
"4",4.14,4.55967000124436
"43",4.36,4.78098738809127
"56",5.16,5.57722391639933
"9",9.9,9.48141843919606
"50",4.64,5.06105472182127
"61",7.28,6.86010105321307
"65",7.34,6.9212163984526
"53",4.18,4.59978917078441
"42",2.82,3.23863558658476
"15",7.56,7.14148578023868
"2",21.06,10.8599608935734
"33",4.58,4.99863558658476
"27",9.92,9.49936297719297
"35",3.62,4.04071797949414
"16",11.4,10.8599608935731
"30",2.86,3.27901026135436
"17",9.28,8.86003372483443
"62",9.58,9.15765496836624
