"Row","Sample_ID","X","Y","Fe","Mn","Zn","Cu","b2_reflectance","b3_reflectance","b4_reflectance","b5_reflectance","b6_reflectance","b7_reflectance","ci_mean_kh","FlowAcc_kh","gndvi_mean_kh","ndvi_mean_kh","PlanCur_kh","ProflCur_kh","satind_mean_kh","sgsi_mean_kh","slope_kh","spi_kh","Twi_kh","aoi_dem_clip_khavr","Sen_B02_30m_aoi","Sen_B03_Mean_30m_aoi","Sen_B04_Mean_30m_aoi","Sen_B05_Mean_30m_aoi","Sen_B06_Mean_30m_aoi","Sen_B07_Mean_30m_aoi","Sen_B08_Mean_30m_aoi","Sen_B08A_Mean_30m_aoi","Sen_B11_Mean_30m_aoi","Sen_B12_Mean_30m_aoi","ClayInd_Mean_Sentinel_khavr","GNDVI_Mean_Sentinel_khavr","MSAVI2_Mean_Sentinel_khavr","NDVI_Mean_Sentinel_khavr","Saturation_Mean_Sentinel_khavr","SGSI_Mean_Sentinel_khavr","Clay_khavr","pH_khavr","Sand_khavr","srad_khavr","bio_15_khavr","bio_12_khavr","bio_1_khavr"
26,"26 SNP",683717,3996496,2.84,18.22,0.54,1.5,0.08141,0.12577,0.15398,0.33545,0.25249,0.18594,0.0795,0,0.24326,0.2039,0,0,0.11403,0.02927,0,3.98968,2.81272,1258,1023,1472,1871,2238,3259,3637,3266,3837,2849,2201,0.12812,0.44362,-0.06169,0.34286,0.29342,0.09154,29.0031,7.8068,33.6668,210842,80.5,293,12.2958
158,"158 SNP",676090,4003795,1.9,5.86,0.98,1.12,0.08372,0.12497,0.14801,0.24569,0.2249,0.1833,0.05143,0,0.15667,0.12311,0,-0.11111,0.10167,0.02408,1.66667,4.5,3.5,1258,1134,1422,1664,1926,2155,2249,2575,2261,2416,2165,0.17778,0.52629,-0.04134,0.50532,0.26183,0.02109,20.7543,8.04028,37.2848,210802,79.8824,297,12.0542
193,"193 SNP",678431,4001914,2.56,4.6,9.22,1.24,0.12981,0.17703,0.21676,0.27856,0.30273,0.26926,0.03438,0,0.11851,0.06888,0,-0.33333,0.1165,0.03535,5,4.88322,1.91917,1287,1450,1875,2322,2542,2812,2977,3043,3175,3276,2863,0.07055,0.23485,-0.0922,0.1549,0.209,0.06123,16.5246,8.06179,44.1269,210628,80.1381,299,12.0208
237,"237 SNP",680624,3999273,3.58,4.4,1.54,0.76,0.08443,0.12401,0.15899,0.25738,0.26338,0.22589,0.04239,1,0.17123,0.12191,0,-0.33333,0.11481,0.03555,5,5.22018,2.96851,1288,1170,1693,2167,2576,3003,3194,3594,3314,3194,2732,0.06233,0.33727,-0.08643,0.18349,0.31808,0.12609,20.109,8.01834,40.3962,210726,80.1664,295,12.0292
165,"165 SNP",675834,4002218,2.08,5.54,1.78,1.02,0.04426,0.07657,0.07261,0.32443,0.17791,0.10487,0.10702,11,0.30856,0.3151,0,0,0.05481,-0.00505,4.71405,6.41844,5.35376,1247,266,625,438,1045,3018,3539,3578,3760,1856,984,0.13883,0.41986,-0.05908,0.36066,0.23678,0.05194,21.2979,7.99582,41.5822,210848,79.5231,296,12.0625
50,"50 SNP",684985,3995039,2.66,9.8,0.58,1.6,0.09983,0.15189,0.19526,0.29382,0.28092,0.22039,0.06738,1,0.16737,0.11055,-0.05556,-0.05556,0.13706,0.04135,4.85913,5.37854,2.81015,1263,1254,1748,2188,2438,2681,2848,2908,2947,2996,2489,0.09248,0.25572,-0.09277,0.14852,0.27085,0.08457,23.3531,7.56587,41.1553,211047,80.5313,291,12.3333
211,"211 SNP",679850,4000711,2.48,8.14,0.82,1.62,0.111,0.163,0.20436,0.27108,0.27537,0.23313,0.04645,0,0.12953,0.0762,0.11111,-0.11111,0.13047,0.03833,2.35702,3.93354,2.86886,1305,1301,1821,2261,2567,2791,2893,2662,2990,2950,2520,0.0853,0.26065,-0.09098,0.15854,0.26725,0.08076,11.6401,7.74011,58.5405,210837,80.1994,298,11.9167
22,"22 SNP",683508,3997185,2.14,5.9,0.3,1.32,0.07753,0.11969,0.14356,0.33306,0.24723,0.18176,0.07908,0,0.25001,0.21602,0.28889,-0.37778,0.10637,0.02531,6.26387,3.66825,3.13415,1267,522,882,933,1513,3137,3675,3844,3840,2320,1469,0.22645,0.62397,-0.03101,0.60678,0.28407,0.01635,28.6225,7.93664,38.4646,210969,80.5,293,12.2583
283,"283 SNP",682444,3996768,1.38,6.52,7.84,1.28,0.10426,0.15637,0.21267,0.31554,0.32542,0.24897,0.07941,48,0.18359,0.11246,0,0.22222,0.15001,0.05204,3.33333,8.21824,6.3678,1256,1185,1674,2359,2682,2925,3102,3283,3405,3561,2738,0.13568,0.35292,-0.08537,0.1913,0.3409,0.13592,28.1321,7.94845,31.2299,210425,80.4301,293,12.2583
244,"244 SNP",681770,3998434,2.56,9.88,6.66,0.96,0.06725,0.1047,0.11339,0.33166,0.22383,0.14812,0.09804,136,0.27132,0.25828,0.11111,0.11111,0.07943,0.00979,3.33333,8.60713,8.03523,1276,1031,1506,1700,2097,2898,3243,3530,3359,2665,1991,0.22704,0.65527,-0.02425,0.67521,0.24476,-0.02787,12.2321,7.81766,55.901,210736,80.4291,294,12.15
247,"247 SNP",682158,3998711,2.14,5.74,1.12,1.34,0.10993,0.16531,0.22039,0.29371,0.2969,0.24,0.06098,3,0.1491,0.08002,-0.17778,0.15556,0.15104,0.05018,2.63523,5.3396,4.23539,1283,1255,1808,2462,2779,2885,3045,2876,3163,3254,2586,0.12094,0.30818,-0.08879,0.17084,0.30932,0.11161,17.6574,7.81467,48.9538,210736,80.3346,296,12.0792
276,"276 SNP",683227,3997844,1.74,7.86,1.32,0.96,0.04104,0.07088,0.06626,0.33369,0.17373,0.09662,0.11506,0,0.32645,0.3341,0.22222,-0.11111,0.04974,-0.00593,1.31762,4.02854,2.77386,1272,379,732,641,1200,2935,3446,3619,3683,1977,1162,0.19634,0.49351,-0.04761,0.45075,0.22857,0.04174,23.5022,8.14931,36.9217,210925,80.1664,295,12.1958
12,"12 SNP",681896,3995173,2.14,10.26,0.4,1.52,0.12623,0.1913,0.2529,0.35226,0.33697,0.27383,0.06241,2,0.1702,0.09871,0,0.22222,0.16227,0.05245,3.33333,5.4046,3.59502,1242,1373,1990,2682,3000,3296,3428,3914,3577,3623,2963,0.09959,0.28523,-0.09375,0.14326,0.32297,0.11444,27.6495,7.79686,36.6545,210254,80.4301,293,12.2917
194,"194 SNP",678822,4000788,2.88,5.26,11.56,1.26,0.07374,0.11419,0.12959,0.29701,0.22823,0.16655,0.07764,129,0.22526,0.20243,0,0.22222,0.09257,0.01679,3.33333,8.4456,8.09186,1283,933,1391,1669,2116,2790,3016,3222,3116,2646,2136,0.17091,0.48631,-0.05111,0.42023,0.30348,0.06468,14.7394,8.02966,49.2348,210594,80.1994,298,11.9625
272,"272 SNP",682125,3996847,2.34,6.18,1.66,0.8,0.09769,0.15283,0.19834,0.32605,0.28447,0.22958,0.06005,0,0.19565,0.13689,0.16667,-0.05556,0.14452,0.04339,1.17851,4.39638,2.40602,1256,1129,1658,2277,2638,2939,3140,3266,3330,3154,2574,0.09747,0.32768,-0.08691,0.18162,0.3358,0.12163,26.9059,8.11381,33.0482,210425,80.4291,294,12.2208
175,"175 SNP",677064,4003046,1.82,4.16,1.06,0.96,0.05982,0.09574,0.10575,0.32091,0.20359,0.13693,0.09001,5,0.2756,0.26027,0,0.11111,0.08095,0.01152,1.66667,5.48372,4.90219,1268,445,804,737,1362,3046,3532,3708,3712,2161,1343,0.1569,0.48516,-0.04932,0.43521,0.25355,0.04809,20.7424,8.15568,42.1314,210843,79.8824,297,12.0417
